Rk,Name,Age,Debut,LastGame,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,HighSchool,GivenName
11,Victor Arano,22.217,Sep 12,,1,PHI,1.6,6-2,228,R,R,"Feb 7, 1995","Cosamaloapan, Veracruz, MX",Signed by the Los Angeles Dodgers as an amateur free agent in 2013.,,,Victor Teodoro
12,Christian Arroyo,21.329,Apr 24,,56/4H,SFG,2.3,6-1,210,R,R,"May 30, 1995","Tampa, FL, US","Drafted by the San Francisco Giants in the 1st round (25th pick) of the 2013 amateur draft. Player signed June 18, 2013.",,"Hernando HS (Brooksville, FL)",Christian Israel
13,Barrett Astin,25.163,Apr 3,"May 14, 2017",/1,CIN,-0.1,6-1,225,R,R,"Oct 22, 1991","Forrest City, AR, US","Drafted by the Milwaukee Brewers in the 3rd round of the 2013 amateur draft. Player signed June 8, 2013.","University of Arkansas (Fayetteville, AR)","Forrest City HS (Forrest City, AR)",Barrett
14,Harrison Bader,23.052,Jul 25,,8/H79,STL,11.7,6-0,210,R,R,"Jun 3, 1994","Bronxville, NY, US","Drafted by the St. Louis Cardinals in the 3rd round of the 2015 amateur draft. Player signed June 28, 2015.","University of Florida (Gainesville, FL)","Horace Mann School (Riverdale, NY)",Harrison Joseph
15,Anthony Banda,23.346,Jul 22,,/1,ARI,-0.8,6-2,220,L,L,"Aug 10, 1993","Corpus Christi, TX, US","Drafted by the Milwaukee Brewers in the 10th round of the 2012 amateur draft. Player signed June 15, 2012.","San Jacinto College, North Campus (Houston, TX)","Sinton HS (Sinton, TX)",Frank Anthony
16,Franklin Barreto,21.117,Jun 24,"Sep 6, 2020",64/HD,OAK,-1.0,5-10,208,R,R,"Feb 27, 1996","Caracas, Distrito Federal, VE",Signed by the Toronto Blue Jays as an amateur free agent in 2012.,,,Franklin Jose
17,Rafael Bautista,24.053,Apr 30,"May 6, 2018",9/H87,WSN,-0.4,6-2,194,R,R,"Mar 8, 1993","Santo Domingo, Distrito Nacional, DO",Signed by the Washington Nationals as an amateur free agent in 2012.,,,Rafael Darwing
18,Chad Bell,28.071,May 10,"May 3, 2018",1,DET,-0.6,6-3,200,R,L,"Feb 28, 1989","Knoxville, TN, US","Drafted by the Texas Rangers in the 14th round of the 2009 amateur draft. Player signed August 13, 2009.","Walters State Community College (Morristown, TN)","South Doyle HS (Knoxville, TN)",Chadwick Micah
19,Cody Bellinger,21.286,Apr 25,,37/98HD,LAD,17.8,6-4,203,L,L,"Jul 13, 1995","Scottsdale, AZ, US","Drafted by the Los Angeles Dodgers in the 4th round of the 2013 amateur draft. Player signed June 13, 2013.",,"Hamilton HS (Chandler, AZ)",Cody James
20,Austin Bibens-Dirkx,32.018,May 17,"Sep 12, 2018",1,TEX,0.8,6-1,210,R,R,"Apr 29, 1985","Salem, OR, US","Drafted by the Seattle Mariners in the 16th round of the 2006 amateur draft. Player signed June 8, 2006.","University of Portland (Portland, OR)","McNary HS (Keizer, OR)",Austin Mitchell
21,Paul Blackburn,23.209,Jul 1,,1,OAK,1.0,6-1,196,R,R,"Dec 4, 1993","Antioch, CA, US","Drafted by the Chicago Cubs in the 1st round (56th pick) of the 2012 amateur draft. Player signed June 15, 2012.",,"Heritage HS (Brentwood, CA)",Paul Cady
22,Jorge Bonifacio,23.321,Apr 21,"Aug 31, 2021",9H/7D8,KCR,-0.5,6-1,220,R,R,"Jun 4, 1993","Santo Domingo, Distrito Nacional, DO",Signed by the Kansas City Royals as an amateur free agent in 2009.,,,Jorge Luis
23,John Bormann,24.026,Apr 30,"Apr 30, 2017",/H,PIT,0.0,6-0,205,R,R,"Apr 4, 1993","Danville, VA, US","Drafted by the Pittsburgh Pirates in the 24th round of the 2015 amateur draft. Player signed June 17, 2015.","University of Texas at San Antonio (San Antonio, TX)",,John William
24,Christopher Bostick,24.045,May 8,"Sep 30, 2018",H/47,PIT,0.0,5-10,200,R,R,"Mar 24, 1993","Rochester, NY, US","Drafted by the Oakland Athletics in the 44th round of the 2011 amateur draft. Player signed July 28, 2011.",,"Aquinas Institute (Rochester, NY)",Christopher Michael
25,Chasen Bradford,27.324,Jun 25,"Jun 2, 2019",1,NYM,0.9,6-1,225,R,R,"Aug 5, 1989","Las Vegas, NV, US","Drafted by the New York Mets in the 35th round of the 2011 amateur draft. Player signed June 11, 2011.","University of Central Florida (Orlando, FL)","Silverado HS (Las Vegas, NV)",Chasen David
26,Michael Brady,30.091,Jun 20,"Sep 30, 2017",1,OAK,-0.2,6-0,195,R,R,"Mar 21, 1987","Laguna Beach, CA, US","Drafted by the Florida Marlins in the 24th round of the 2009 amateur draft. Player signed June 15, 2009.","University of California, Berkeley (Berkeley, CA)","Santa Margarita Catholic HS (Rancho Santa Margarita, CA)",Michael James
27,John Brebbia,26.363,May 28,,1,STL,3.8,6-1,200,L,R,"May 30, 1990","Boston, MA, US","Drafted by the New York Yankees in the 30th round of the 2011 amateur draft. Player signed August 13, 2011.","Elon University (Elon, NC)","Wellington Community HS (Wellington, FL)",John Fulboam
28,Lewis Brinson,23.034,Jun 11,,/87H,MIL,-3.6,6-5,212,R,R,"May 8, 1994","Fort Lauderdale, FL, US","Drafted by the Texas Rangers in the 1st round (29th pick) of the 2012 amateur draft. Player signed June 12, 2012.",,"Coral Springs HS (Coral Springs, FL)",Lewis Lamont
29,Jaycob Brugman,25.142,Jun 9,"Aug 9, 2017",8/H79,OAK,-0.4,6-0,190,L,L,"Jan 18, 1992","Chandler, AZ, US","Drafted by the Oakland Athletics in the 17th round of the 2013 amateur draft. Player signed June 12, 2013.","Brigham Young University (Provo, UT)","Desert Vista HS (Phoenix, AZ)",Jaycob Hull
30,Walker Buehler,23.041,Sep 7,,/1,LAD,13.2,6-2,185,R,R,"Jul 28, 1994","Lexington, KY, US","Drafted by the Los Angeles Dodgers in the 1st round (24th pick) of the 2015 amateur draft. Player signed July 17, 2015.","Vanderbilt University (Nashville, TN)","Henry Clay HS (Lexington, KY)",Walker Anthony
31,Aaron Bummer,23.309,Jul 27,,1,CHW,4.3,6-3,215,L,L,"Sep 21, 1993","Valencia, CA, US","Drafted by the Chicago White Sox in the 19th round of the 2014 amateur draft. Player signed June 10, 2014.","University of Nebraska-Lincoln (Lincoln, NE)","Sunrise Mountain HS (Peoria, AZ)",Aaron James
32,Alan Busenitz,26.299,Jun 17,"Sep 27, 2018",1,MIN,-0.4,6-1,180,R,R,"Aug 22, 1990","Watkinsville, GA, US","Drafted by the Los Angeles Angels of Anaheim in the 25th round of the 2013 amateur draft. Player signed June 11, 2011.","Kennesaw State University (Kennesaw, GA)","Athens Christian HS (Athens, GA)",Alan Paul
33,Willie Calhoun,22.312,Sep 12,,7/DH,TEX,-1.7,5-8,200,L,R,"Nov 4, 1994","Vallejo, CA, US","Drafted by the Los Angeles Dodgers in the 4th round of the 2015 amateur draft. Player signed June 15, 2015.","University of Arizona (Tucson, AZ), Yavapai College (Prescott, AZ)","Benicia HS (Benicia, CA)",Willie Shawn Lamont
34,Jamie Callahan,23.009,Sep 2,"Oct 1, 2017",/1,NYM,0.0,6-2,230,R,R,"Aug 24, 1994","Florence, SC, US","Drafted by the Boston Red Sox in the 2nd round of the 2012 amateur draft. Player signed June 14, 2012.",,"Dillon HS (Dillon, SC)",James Douglas
35,Johan Camargo,23.119,Apr 11,,56H/47,ATL,3.5,6-0,195,B,R,"Dec 13, 1993","Panama, Panama, PA",Signed by the Atlanta Braves as an amateur free agent in 2010.,,,Johan Valentin
36,Victor Caratini,23.315,Jun 28,,H2/379,CHC,1.4,6-1,215,B,R,"Aug 17, 1993","Ponce, PR","Drafted by the Atlanta Braves in the 2nd round of the 2013 amateur draft. Player signed June 10, 2013.","Miami Dade College, Kendall Campus (Miami, FL)","Puerto Rico Baseball Academy (Gurabo, Puerto Rico)",Victor Manuel
37,Shane Carle,25.227,Apr 14,"May 2, 2019",/1,COL,0.7,6-4,210,R,R,"Aug 30, 1991","Santa Cruz, CA, US","Drafted by the Pittsburgh Pirates in the 10th round of the 2013 amateur draft. Player signed June 14, 2013.","California State University, Long Beach (Long Beach, CA)","Scotts Valley HS (Scotts Valley, CA)",Shane Taylor
38,Fabio Castillo,28.195,Sep 2,"Sep 3, 2017",/1,LAD,-0.1,6-1,235,R,R,"Feb 19, 1989","Samana, Samana, DO",Signed by the Texas Rangers as an amateur free agent in 2005.,,,Fabio
39,Luis Castillo,24.193,Jun 23,,1,CIN,18.8,6-2,200,R,R,"Dec 12, 1992","Bani, Peravia, DO",Signed by the San Francisco Giants as an amateur free agent in 2011.,,,Luis Miguel
40,Alejandro Chacin,24.060,Aug 23,"Sep 20, 2017",/1,CIN,-0.2,6-0,204,R,R,"Jun 24, 1993","Maracay, Aragua, VE",Signed by the Cincinnati Reds as an amateur free agent in 2010.,,,David Alejandro
41,Matt Chapman,24.048,Jun 15,,5,OAK,26.8,6-0,215,R,R,"Apr 28, 1993","Victorville, CA, US","Drafted by the Oakland Athletics in the 1st round (25th pick) of the 2014 amateur draft. Player signed June 16, 2014.","California State University, Fullerton (Fullerton, CA)","El Toro HS (Lake Forest, CA)",Matt James
42,Taylor Cole,27.354,Aug 9,"Sep 29, 2019",/1,TOR,0.4,6-1,200,R,R,"Aug 20, 1989","Simi Valley, CA, US","Drafted by the Toronto Blue Jays in the 29th round of the 2011 amateur draft. Player signed June 8, 2011.","Brigham Young University (Provo, UT), College of Southern Nevada (Henderson, NV)","Bishop Gorman HS (Las Vegas, NV)",Taylor James
43,Garrett Cooper,26.201,Jul 14,,3,NYY,4.3,6-5,235,R,R,"Dec 25, 1990","Torrance, CA, US","Drafted by the Milwaukee Brewers in the 6th round of the 2013 amateur draft. Player signed June 9, 2013.","Auburn University (Auburn, AL)",,Garrett Nicholas
44,Franchy Cordero,22.267,May 27,,8/H7,SDP,-0.6,6-3,226,L,R,"Sep 2, 1994","Azua, Azua, DO",Signed by the San Diego Padres as an amateur free agent in 2011.,,,Franchy
45,Allen Cordoba,21.118,Apr 3,"Oct 1, 2017",7H6/8594,SDP,-0.6,6-2,235,R,R,"Dec 6, 1995","Changuinola, Bocas del Toro, PA",Signed by the St. Louis Cardinals as an amateur free agent in 2013.,,,Allen Octavio
46,Dylan Covey,25.243,Apr 14,"Sep 24, 2020",1,CHW,-3.0,6-1,215,R,R,"Aug 14, 1991","Glendale, CA, US","Drafted by the Oakland Athletics in the 4th round of the 2013 amateur draft. Player signed June 10, 2013.","University of San Diego (San Diego, CA)","Maranatha HS (Pasadena, CA)",Dylan Charles
47,J.P. Crawford,22.237,Sep 5,,5/64H,PHI,10.7,6-2,202,L,R,"Jan 11, 1995","Long Beach, CA, US","Drafted by the Philadelphia Phillies in the 1st round (16th pick) of the 2013 amateur draft. Player signed June 18, 2013.",,"Lakewood HS (Lakewood, CA)",John Paul
48,Stefan Crichton,25.000,Apr 16,"Aug 1, 2021",/1,BAL,0.4,6-3,208,R,R,"Feb 29, 1992","Houston, TX, US","Drafted by the Baltimore Orioles in the 23rd round of the 2013 amateur draft. Player signed July 12, 2013.","Texas Christian University (Fort Worth, TX)","Cinco Ranch HS (Katy, TX)",Stefan Brook
49,Kyle Crick,24.204,Jun 22,,1,SFG,1.6,6-4,225,L,R,"Nov 30, 1992","Fort Worth, TX, US","Drafted by the San Francisco Giants in the 1st round (49th pick) of the 2011 amateur draft. Player signed July 5, 2011.",,"Sherman HS (Sherman, TX)",Kyle Daniel
50,John Curtiss,24.142,Aug 25,"Aug 10, 2021",/1,MIN,0.7,6-5,220,R,R,"Apr 5, 1993","Dallas, TX, US","Drafted by the Minnesota Twins in the 6th round of the 2014 amateur draft. Player signed July 1, 2014.","University of Texas at Austin (Austin, TX)","Carroll HS (Southlake, TX)",John Pickens
51,J.D. Davis,24.100,Aug 5,,5/H31,HOU,2.2,6-3,218,R,R,"Apr 27, 1993","Elk Grove, CA, US","Drafted by the Houston Astros in the 3rd round of the 2014 amateur draft. Player signed June 12, 2014.","California State University, Fullerton (Fullerton, CA)","Elk Grove HS (Elk Grove, CA)",Jonathan Gregory
52,Rookie Davis,23.342,Apr 6,"Jun 7, 2019",/1,CIN,-0.9,6-5,255,R,R,"Apr 29, 1993","Sneads Ferry, NC, US","Drafted by the New York Yankees in the 14th round of the 2011 amateur draft. Player signed August 15, 2011.",,"Dixon HS (Holly Ridge, NC)",William Theron
53,Taylor Davis,27.284,Sep 8,"Sep 27, 2021",/H352,CHC,-0.1,5-10,200,R,R,"Nov 28, 1989","Tampa, FL, US",Signed by the Chicago Cubs as an amateur free agent in 2011.,"Morehead State University (Morehead, KY)","Jupiter HS (Jupiter, FL)",Taylor Matthew
54,Chase De Jong,23.097,Apr 5,,/1,SEA,0.5,6-4,230,L,R,"Dec 29, 1993","Long Beach, CA, US","Drafted by the Toronto Blue Jays in the 2nd round of the 2012 amateur draft. Player signed July 1, 2012.",,"Woodrow Wilson HS (Long Beach, CA)",Chase Louis
55,Paul DeJong,23.299,May 28,,64/H,STL,13.3,6-0,205,R,R,"Aug 2, 1993","Orlando, FL, US","Drafted by the St. Louis Cardinals in the 4th round of the 2015 amateur draft. Player signed June 13, 2015.","Illinois State University (Normal, IL)","Antioch HS (Antioch, IL)",Paul Sterling
56,Nicky Delmonico,25.020,Aug 1,"Aug 2, 2020",7D/3H,CHW,-0.3,6-3,230,L,R,"Jul 12, 1992","Knoxville, TN, US","Drafted by the Baltimore Orioles in the 6th round of the 2011 amateur draft. Player signed August 15, 2011.",,"Farragut HS (Knoxville, TN)",Nicholas John
57,Rafael Devers,20.274,Jul 25,,5/HD,BOS,15.2,6-0,240,L,R,"Oct 24, 1996","Sanchez, Samana, DO",Signed by the Boston Red Sox as an amateur free agent in 2013.,,,Rafael Calcano
58,Miguel Diaz,22.126,Apr 3,,1,SDP,-0.7,6-0,224,R,R,"Nov 28, 1994","San Cristobal, San Cristobal, DO",Signed by the Milwaukee Brewers as an amateur free agent in 2011.,,,Miguel Angel
59,Yandy Díaz,25.238,Apr 3,,5/D7H,CLE,8.2,6-2,215,R,R,"Aug 8, 1991","Sagua la Grande, Villa Clara, CU",Signed by the Cleveland Indians as an amateur free agent in 2013.,,,Yandy
60,O'Koyea Dickson,27.205,Sep 2,"Sep 26, 2017",/7H,LAD,-0.1,5-11,220,R,R,"Feb 9, 1990","San Francisco, CA, US","Drafted by the Los Angeles Dodgers in the 12th round of the 2011 amateur draft. Player signed June 29, 2011.","Sonoma State University (Rohnert Park, CA)","Washington HS (San Francisco, CA)",O'Koyea Rishaard
61,Adam Engel,25.169,May 27,,8/H7,CHW,3.5,6-2,215,R,R,"Dec 9, 1991","Cincinnati, OH, US","Drafted by the Chicago White Sox in the 19th round of the 2013 amateur draft. Player signed June 27, 2013.","University of Louisville (Louisville, KY)","Loveland HS (Loveland, OH)",Adam Trevor
62,Dietrich Enns,26.086,Aug 10,"Sep 24, 2021",/1,MIN,0.2,6-1,210,L,L,"May 16, 1991","Frankfort, IL, US","Drafted by the New York Yankees in the 19th round of the 2012 amateur draft. Player signed June 9, 2012.","Central Michigan University (Mount Pleasant, MI)","Lincoln-Way East HS (Frankfort, IL)",Dietrich
63,Phil Ervin,24.281,Apr 22,"Sep 26, 2020",H/879,CIN,0.4,5-10,207,R,R,"Jul 15, 1992","Mobile, AL, US","Drafted by the Cincinnati Reds in the 1st round (27th pick) of the 2013 amateur draft. Player signed June 10, 2013.","Samford University (Homewood, AL)","Leroy HS (Leroy, AL)",Phillip S.
64,Paolo Espino,30.129,May 19,,/1,MIL,1.6,5-10,211,R,R,"Jan 10, 1987","Panama, Panama, PA","Drafted by the Cleveland Indians in the 10th round of the 2006 amateur draft. Player signed July 28, 2006.",,"IMG Academy (Bradenton, FL)",Paolo Alesandro
65,Phillip Evans,24.363,Sep 8,"Sep 5, 2021",H/54,NYM,-0.4,5-10,210,R,R,"Sep 10, 1992","Whittier, CA, US","Drafted by the New York Mets in the 15th round of the 2011 amateur draft. Player signed August 15, 2011.",,"La Costa Canyon HS (Carlsbad, CA)",Phillip Mathew
66,Jake Faria,23.312,Jun 7,"Sep 14, 2021",1,TBR,1.0,6-4,230,R,R,"Jul 30, 1993","La Palma, CA, US","Drafted by the Tampa Bay Rays in the 10th round of the 2011 amateur draft. Player signed June 29, 2011.",,"Richard Gahr HS (Cerritos, CA)",Jacob Daniel
67,Kyle Farmer,26.347,Jul 30,,H/523,LAD,2.9,6-0,205,R,R,"Aug 17, 1990","Atlanta, GA, US","Drafted by the Los Angeles Dodgers in the 8th round of the 2013 amateur draft. Player signed June 10, 2013.","University of Georgia (Athens, GA)","Marist School (Atlanta, GA)",James Kyle
68,Luke Farrell,26.024,Jul 1,,/1,KCR,-0.3,6-6,200,L,R,"Jun 7, 1991","Westlake, OH, US","Drafted by the Kansas City Royals in the 6th round of the 2013 amateur draft. Player signed June 9, 2013.","Northwestern University (Evanston, IL)","St. Ignatius HS (Cleveland, OH)",Luke Thomas
69,Erick Fedde,24.155,Jul 30,,/1,WSN,-0.4,6-4,203,R,R,"Feb 25, 1993","Las Vegas, NV, US","Drafted by the Washington Nationals in the 1st round (18th pick) of the 2014 amateur draft. Player signed July 18, 2014.","University of Nevada, Las Vegas (Paradise, NV)","Las Vegas HS (Las Vegas, NV)",Erick James
70,Derek Fisher,23.297,Jun 14,"Jun 21, 2021",79H/8D,HOU,0.2,6-3,215,L,R,"Aug 21, 1993","Lebanon, PA, US","Drafted by the Houston Astros in the 1st round (37th pick) of the 2014 amateur draft. Player signed July 1, 2014.","University of Virginia (Charlottesville, VA)","Cedar Crest HS (Lebanon, PA)",Derek Joseph
71,Jack Flaherty,21.321,Sep 1,,/1,STL,9.3,6-4,225,R,R,"Oct 15, 1995","Burbank, CA, US","Drafted by the St. Louis Cardinals in the 1st round (34th pick) of the 2014 amateur draft. Player signed June 17, 2014.",,"Harvard-Westlake HS (Los Angeles, CA)",Jack Rafe
72,Chris Flexen,23.026,Jul 27,,1,NYM,2.6,6-3,219,R,R,"Jul 1, 1994","Newark, CA, US","Drafted by the New York Mets in the 14th round of the 2012 amateur draft. Player signed June 22, 2012.",,"Memorial HS (Newark, CA)",Christopher John
73,Nolan Fontana,25.350,May 22,"Jun 15, 2018",/4HD,LAA,0.0,5-11,195,L,R,"Jun 6, 1991","Winter Garden, FL, US","Drafted by the Houston Astros in the 2nd round of the 2012 amateur draft. Player signed June 26, 2012.","University of Florida (Gainesville, FL)","West Orange HS (Winter Garden, FL)",Nolan David
74,Dustin Fowler,22.182,Jun 29,"Apr 21, 2021",/9,NYY,-1.3,6-0,195,L,L,"Dec 29, 1994","Cadwell, GA, US","Drafted by the New York Yankees in the 18th round of the 2013 amateur draft. Player signed July 10, 2013.",,"West Laurens HS (Dexter, GA)",Dustin Ryan
75,Seth Frankoff,28.286,Jun 9,"Jun 3, 2021",/1,CHC,-0.8,6-5,206,R,R,"Aug 27, 1988","Raleigh, NC, US","Drafted by the Oakland Athletics in the 27th round of the 2010 amateur draft. Player signed June 10, 2010.","University of North Carolina at Wilmington (Wilmington, NC)","Apex HS (Apex, NC)",James Seth
76,Jackson Frazier,22.298,Jul 1,,7/9HD,NYY,0.3,5-11,212,R,R,"Sep 6, 1994","Decatur, GA, US","Drafted by the Cleveland Indians in the 1st round (5th pick) of the 2013 amateur draft. Player signed June 15, 2013.",,"Loganville HS (Loganville, GA)",Clint Jackson
77,Kyle Freeland,23.328,Apr 7,,1/H,COL,16.4,6-4,204,L,L,"May 14, 1993","Denver, CO, US","Drafted by the Colorado Rockies in the 1st round (8th pick) of the 2014 amateur draft. Player signed June 10, 2014.","University of Evansville (Evansville, IN)","Thomas Jefferson HS (Denver, CO)",Kyle Richard
78,David Freitas,28.165,Aug 30,"Sep 29, 2019",/2,ATL,-0.3,6-2,250,R,R,"Mar 18, 1989","Wilton, CA, US","Drafted by the Washington Nationals in the 15th round of the 2010 amateur draft. Player signed June 10, 2010.","University of Hawaii at Manoa (Honolulu, HI)","Elk Grove HS (Elk Grove, CA)",David Joseph
79,Max Fried,23.202,Aug 8,,/1H,ATL,18.1,6-4,190,L,L,"Jan 18, 1994","Santa Monica, CA, US","Drafted by the San Diego Padres in the 1st round (7th pick) of the 2012 amateur draft. Player signed June 15, 2012.",,"Harvard-Westlake HS (Los Angeles, CA)",Max Dorian
80,Jace Fry,24.058,Sep 5,"Sep 21, 2021",1,CHW,-0.2,6-1,209,L,L,"Jul 9, 1993","Portland, OR, US","Drafted by the Chicago White Sox in the 3rd round of the 2014 amateur draft. Player signed June 11, 2014.","Oregon State University (Corvallis, OR)","Southridge HS (Beaverton, OR)",Jace Hayden
81,Cam Gallagher,24.243,Aug 6,,2/H,KCR,1.1,6-3,230,R,R,"Dec 6, 1992","Lancaster, PA, US","Drafted by the Kansas City Royals in the 2nd round of the 2011 amateur draft. Player signed July 28, 2011.",,"Manheim Township HS (Lancaster, PA)",Cameron Joseph
82,Giovanny Gallegos,25.271,May 12,,1,NYY,4.1,6-2,215,R,R,"Aug 14, 1991","Ciudad Obregon, Sonora, MX",Signed by the New York Yankees as an amateur free agent in 2011.,,,Giovanny
83,Jarlin Garcia,24.086,Apr 14,,1,MIA,3.4,6-3,215,L,L,"Jan 18, 1993","Santo Domingo, Distrito Nacional, DO",Signed by the Florida Marlins as an amateur free agent in 2010.,,"Liceo Gregorio Luperon (San Cristobal, Dominican Republic)",Jarlin Emmanuel
84,Willy Garcia,24.222,Apr 14,"Sep 27, 2017",978/HD,CHW,-0.3,6-2,215,R,R,"Sep 4, 1992","Santo Domingo, Distrito Nacional, DO",Signed by the Pittsburgh Pirates as an amateur free agent in 2010.,,,Willy Camilo
85,Nick Gardewine,24.007,Aug 22,"May 2, 2018",1,TEX,-0.1,6-1,179,R,R,"Aug 15, 1993","Effingham, IL, US","Drafted by the Texas Rangers in the 7th round of the 2013 amateur draft. Player signed June 9, 2013.","Kaskaskia College (Arcola, IL)",,Nick
86,Amir Garrett,24.339,Apr 7,,1,CIN,0.3,6-5,239,R,L,"May 3, 1992","Victorville, CA, US","Drafted by the Cincinnati Reds in the 22nd round of the 2011 amateur draft. Player signed August 15, 2011.","St. John's University (Queens, NY)","Henderson International School (Henderson, NV)",Amir Jamal
87,Mitch Garver,26.216,Aug 19,,2/DH37,MIN,7.7,6-1,220,R,R,"Jan 15, 1991","Albuquerque, NM, US","Drafted by the Minnesota Twins in the 9th round of the 2013 amateur draft. Player signed June 19, 2013.","University of New Mexico (Albuquerque, NM)","La Cueva HS (Albuquerque, NM)",Mitchell Lyn
88,Sam Gaviglio,26.354,May 11,"Aug 25, 2020",1,SEA,1.5,6-1,215,R,R,"May 22, 1990","Ashland, OR, US","Drafted by the St. Louis Cardinals in the 5th round of the 2011 amateur draft. Player signed August 12, 2011.","Oregon State University (Corvallis, OR)","Ashland HS (Ashland, OR)",Samuel Joseph
89,Domingo German,24.311,Jun 11,,/1,NYY,3.8,6-2,181,R,R,"Aug 4, 1992","San Pedro de Macoris, San Pedro de Macoris, DO",Signed by the Florida Marlins as an amateur free agent in 2009.,,,Domingo
90,Luiz Gohara,21.037,Sep 6,"Jul 8, 2018",/1,ATL,-0.3,6-3,265,L,L,"Jul 31, 1996","Tupa, Sao Paulo, BR",Signed by the Seattle Mariners as an amateur free agent in 2012.,,,Luiz Henrique
91,Brad Goldberg,27.102,Jun 3,"Aug 21, 2017",1,CHW,-0.3,6-4,220,R,R,"Feb 21, 1990","Cleveland, OH, US","Drafted by the Chicago White Sox in the 10th round of the 2013 amateur draft. Player signed June 9, 2013.","The Ohio State University (Columbus, OH)","Beachwood HS (Beachwood, OH)",Bradley Andrew
92,Miguel Gomez,24.202,Jul 7,"May 27, 2018",H/4,SFG,-0.1,5-9,206,B,R,"Dec 17, 1992","Santo Domingo, Distrito Nacional, DO",Signed by the San Francisco Giants as an amateur free agent in 2011.,,,Miguel Angel
93,Roberto Gomez,28.033,Sep 5,"Apr 28, 2018",/1,SFG,-0.6,6-6,200,R,R,"Aug 3, 1989","Santiago, Santiago, DO",Signed by the Tampa Bay Rays as an amateur free agent in 2010.,,,Roberto Ezequiel
94,Niko Goodrum,25.186,Sep 2,,/4HD9,MIN,2.1,6-3,215,B,R,"Feb 28, 1992","Atlanta, GA, US","Drafted by the Minnesota Twins in the 2nd round of the 2010 amateur draft. Player signed June 22, 2010.",,"Fayette County HS (Fayetteville, GA)",Cartier Niko
95,Daniel Gossett,24.213,Jun 14,"Jun 3, 2018",1,OAK,-0.7,6-0,185,R,R,"Nov 13, 1992","Spartanburg, SC, US","Drafted by the Oakland Athletics in the 2nd round of the 2014 amateur draft. Player signed June 12, 2014.","Clemson University (Clemson, SC)","James F. Byrnes HS (Duncan, SC)",Daniel James
96,Zack Granite,24.294,Jul 8,"Oct 1, 2017",8H/7D9,MIN,0.3,6-1,185,L,L,"Sep 17, 1992","Staten Island, NY, US","Drafted by the Minnesota Twins in the 14th round of the 2013 amateur draft. Player signed June 15, 2013.","Seton Hall University (South Orange, NJ)","Tottenville HS (Staten Island, NY)",Zachary Thomas
