Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
53,Correll Buckhalter,PHI,28,RB,16,1,83,345,2,16,20,4.2,21.6,2
54,Vince Young*,TEN,23,QB,15,13,83,552,7,32,39,6.7,36.8,12
55,Michael Turner,SDG,24,RB,13,0,80,502,2,25,73,6.3,38.6,0
56,Jason Wright,CLE,24,RB,13,3,62,189,0,8,18,3.0,14.5,1
57,LenDale White,TEN,22,RB,13,0,61,244,0,13,26,4.0,18.8,0
58,Mike Alstott,TAM,33,FB,16,15,60,171,3,17,17,2.9,10.7,1
59,Najeh Davenport,PIT,27,RB,13,0,60,221,1,10,48,3.7,17.0,2
60,Samkon Gado,2TM,24,,9,1,56,210,1,0,34,3.8,23.3,1
61,David Carr,HOU,27,QB,16,16,53,195,2,16,16,3.7,12.2,16
62,Michael Pittman,TAM,31,RB,16,3,50,245,1,12,32,4.9,15.3,2
63,Tom Brady,NWE,29,QB,16,16,49,102,0,13,22,2.1,6.4,12
64,Arlen Harris,DET,26,RB,10,3,49,158,1,8,20,3.2,15.8,0
65,Philip Rivers*,SDG,25,QB,16,16,48,49,0,8,15,1.0,3.1,8
66,Charlie Frye,CLE,25,QB,13,13,47,215,3,17,17,4.6,16.5,8
67,David Garrard,JAX,28,QB,11,10,47,250,0,20,20,5.3,22.7,4
68,Steve McNair,BAL,33,QB,16,16,45,119,1,16,19,2.6,7.4,7
69,Alex Smith,SFO,22,QB,16,16,44,147,2,13,22,3.3,9.2,10
70,Artose Pinner,MIN,28,RB,12,1,43,190,3,13,21,4.4,15.8,1
71,Drew Brees*+,NOR,27,QB,16,16,42,32,0,5,16,0.8,2.0,8
72,Chris Brown,TEN,25,RB,5,3,41,156,0,8,21,3.8,31.2,1
73,Bruce Gradkowski,TAM,23,QB,13,11,41,161,0,13,14,3.9,12.4,11
74,Stephen Davis,STL,32,RB,15,0,40,177,0,10,16,4.4,11.8,1
75,Mike Anderson,BAL,33,RB,16,0,39,183,1,10,34,4.7,11.4,0
76,Zack Crockett,OAK,34,FB,16,9,39,163,0,14,17,4.2,10.2,2
77,T.J. Duckett,WAS,25,RB,10,0,38,132,2,9,19,3.5,13.2,1
78,J.P. Losman,BUF,25,QB,16,16,38,140,1,14,15,3.7,8.8,13
79,Michael Robinson,SFO,23,WR,16,0,38,116,2,6,33,3.1,7.3,0
80,Noah Herron,GNB,24,RB,16,0,37,150,1,7,19,4.1,9.4,2
81,Michael Bennett,KAN,28,RB,11,0,36,200,0,8,41,5.6,18.2,1
82,Jake Plummer,DEN,32,QB,16,11,36,112,1,10,19,3.1,7.0,7
83,Musa Smith,BAL,24,RB,12,0,36,153,0,7,30,4.3,12.8,1
84,Chad Pennington,NYJ,30,QB,16,16,35,109,0,12,15,3.1,6.8,7
85,Jon Kitna,DET,34,QB,16,16,34,156,2,9,18,4.6,9.8,11
86,Tony Romo*,DAL,26,QB,16,10,34,102,0,9,16,3.0,6.4,9
87,Mack Strong*,SEA,35,FB,16,10,33,149,1,12,17,4.5,9.3,2
88,Donovan McNabb,PHI,30,QB,10,10,32,212,3,15,37,6.6,21.2,3
89,Ben Roethlisberger,PIT,24,QB,15,15,32,98,2,11,20,3.1,6.5,5
90,Maurice Hicks,SFO,28,RB,16,0,29,82,0,4,9,2.8,5.1,2
91,Brad Johnson,MIN,38,QB,15,14,29,82,1,6,10,2.8,5.5,9
92,Lorenzo Neal*+,SDG,36,FB,16,11,29,140,1,21,43,4.8,8.8,2
93,Chris Taylor,HOU,23,RB,4,0,28,123,1,7,17,4.4,30.8,0
94,Heath Evans,NWE,28,FB,16,3,27,117,0,9,35,4.3,7.3,1
95,Carson Palmer*,CIN,27,QB,16,16,26,37,0,6,11,1.4,2.3,15
96,Derrick Blaylock,NYJ,27,RB,4,2,25,44,0,0,6,1.8,11.0,0
97,Kevin Faulk,NWE,30,RB,15,1,25,123,1,6,11,4.9,8.2,2
98,Jeff Garcia,PHI,36,qb,8,6,25,87,0,7,12,3.5,10.9,6
99,Byron Leftwich,JAX,26,qb,6,6,25,41,2,5,7,1.6,6.8,2
100,Eli Manning,NYG,25,QB,16,16,25,21,0,5,9,0.8,1.3,9
101,Kenny Watson,CIN,28,RB,16,0,25,138,1,5,18,5.5,8.6,0
102,Jason Campbell,WAS,25,qb,7,7,24,107,0,8,15,4.5,15.3,1
103,Aveion Cason,DET,27,RB,6,2,24,94,0,4,16,3.9,15.7,0
104,Rex Grossman,CHI,26,QB,16,16,24,2,0,4,22,0.1,0.1,8
105,Mewelde Moore,MIN,24,RB,16,0,24,131,0,4,15,5.5,8.2,3
106,Brett Favre,GNB,37,QB,16,16,23,29,1,4,14,1.3,1.8,8
107,Peyton Manning*,IND,30,QB,16,16,23,36,4,7,12,1.6,2.3,2
108,Kyle Boller,BAL,25,QB,5,0,22,34,0,3,10,1.5,6.8,3
109,Aaron Brooks,OAK,30,qb,8,8,22,124,0,5,23,5.6,15.5,5
110,Brad Hoover,CAR,30,FB,16,12,22,73,1,10,17,3.3,4.6,2
111,Matt Leinart,ARI,23,QB,12,11,22,49,2,6,14,2.2,4.1,8
112,Ryan Moats,PHI,24,RB,8,0,22,69,0,5,13,3.1,8.6,0
113,ReShard Lee,OAK,26,RB,16,3,21,72,2,7,13,3.4,4.5,1
114,Jerome Harrison,CLE,23,RB,10,1,20,60,0,4,15,3.0,6.0,1
115,Trent Green,KAN,36,QB,8,8,19,59,0,5,10,3.1,7.4,5
116,Justin Griffith,ATL,26,FB,16,11,19,106,1,2,21,5.6,6.6,3
117,Joey Harrington,MIA,28,QB,11,11,19,24,0,6,7,1.3,2.2,4
118,Travis Minor,MIA,27,RB,16,0,19,74,0,3,9,3.9,4.6,0
119,Alvin Pearman,JAX,24,RB,13,0,19,89,1,6,12,4.7,6.8,2
120,Antwaan Randle El,WAS,27,WR,16,16,19,118,0,4,20,6.2,7.4,2
121,Marc Bulger*,STL,29,QB,16,16,18,44,0,5,29,2.4,2.8,6
122,Jake Delhomme,CAR,31,QB,13,13,18,12,0,2,12,0.7,0.9,6
123,Ciatrick Fason,MIN,24,RB,5,0,18,99,1,6,15,5.5,19.8,0
124,Matt Hasselbeck,SEA,31,QB,12,12,18,110,0,8,19,6.1,9.2,3
125,Damien Nash,DEN,24,RB,3,0,18,66,0,2,26,3.7,22.0,0
126,Brad Smith,NYJ,23,,16,3,18,103,0,12,32,5.7,6.4,1
127,Marcel Shipp,ARI,28,RB,15,0,17,41,4,8,9,2.4,2.7,0
128,Verron Haynes,PIT,27,RB,7,0,15,78,0,4,13,5.2,11.1,1
129,Tarvaris Jackson,MIN,23,QB,4,2,15,77,1,4,13,5.1,19.3,4
130,Jeremi Johnson,CIN,26,FB,16,11,15,56,1,3,15,3.7,3.5,0
131,J.J. Arrington,ARI,23,RB,16,0,14,19,0,0,9,1.4,1.2,1
132,Andrew Walter,OAK,24,QB,12,8,14,30,0,2,12,2.1,2.5,13
133,Charlie Batch,PIT,32,QB,8,1,13,15,0,1,12,1.2,1.9,1
134,Mark Brunell,WAS,36,QB,10,9,13,34,0,4,12,2.6,3.4,5
135,Tyson Thompson,DAL,25,RB,7,0,13,30,1,1,7,2.3,4.3,0
136,Kurt Warner,ARI,35,qb,6,5,13,3,0,3,9,0.2,0.5,10
137,Jay Cutler,DEN,23,qb,5,5,12,18,0,1,9,1.5,3.6,8
138,Ovie Mughelli,BAL,26,FB,16,8,12,50,0,4,12,4.2,3.1,1
139,Mike Sellers,WAS,31,fb,16,6,12,51,0,7,13,4.3,3.2,1
140,Seneca Wallace,SEA,26,QB,8,4,12,122,0,6,37,10.2,15.3,5
141,Nick Goings,CAR,28,RB,11,0,11,52,0,2,28,4.7,4.7,0
142,Earnest Graham,TAM,26,RB,16,0,11,59,0,2,17,5.4,3.7,0
143,Mike Karney,NOR,25,FB,15,7,11,33,1,7,8,3.0,2.2,0
144,Jamaal Branch,NOR,25,RB,1,0,10,29,0,2,9,2.9,29.0,0
145,Dee Brown,KAN,28,RB,15,0,10,24,0,1,7,2.4,1.6,1
146,Daunte Culpepper,MIA,29,QB,4,4,10,20,1,3,7,2.0,5.0,3
147,Chris Perry,CIN,25,RB,6,1,10,57,0,3,18,5.7,9.5,2
148,Adrian Peterson,CHI,27,RB,16,0,10,41,2,6,11,4.1,2.6,2
149,Cecil Sapp,DEN,28,RB,11,1,10,80,0,4,28,8.0,7.3,0
150,LaBrandon Toefield,JAX,26,RB,4,0,10,22,0,1,12,2.2,5.5,0
151,Obafemi Ayanbadejo,ARI,31,RB,14,0,9,37,0,5,11,4.1,2.6,1
152,Damon Huard,KAN,33,qb,10,8,9,9,0,0,8,1.0,0.9,9
153,Javon Walker,DEN,28,WR,16,16,9,123,1,4,72,13.7,7.7,0
154,Drew Bledsoe,DAL,34,qb,6,6,8,28,2,6,11,3.5,4.7,3
155,Chris Chambers,MIA,28,WR,16,16,8,95,0,4,39,11.9,5.9,0
156,Jason McKie,CHI,26,FB,15,12,8,18,0,0,7,2.3,1.2,0
157,Eric Shelton,CAR,23,RB,9,0,8,23,0,1,9,2.9,2.6,0
158,Steve Smith Sr.*,CAR,27,WR,14,14,8,61,1,3,24,7.6,4.4,2
159,Terrelle Smith,CLE,28,FB,16,8,8,14,0,1,3,1.8,0.9,0
160,Vinny Testaverde,NWE,43,QB,3,0,8,-8,0,0,-1,-1.0,-2.7,0
161,Brian Calhoun,DET,22,RB,7,0,7,19,0,0,7,2.7,2.7,1
162,Mark Clayton,BAL,24,WR,16,12,7,-30,0,0,3,-4.3,-1.9,0
163,Donald Driver*,GNB,31,WR,16,16,7,16,0,2,16,2.3,1.0,1
164,Bryan Gilmore,SFO,28,WR,16,3,7,94,0,5,22,13.4,5.9,1
165,Ahmard Hall,TEN,27,fb,14,7,7,21,0,3,11,3.0,1.5,1
166,Santana Moss,WAS,27,WR,14,14,7,82,0,3,35,11.7,5.9,2
167,Lousaka Polite,DAL,25,RB,12,0,7,18,0,1,4,2.6,1.5,0
168,Matt Schaub,ATL,25,QB,16,0,7,21,0,2,19,3.0,1.3,1
169,Reggie Williams,JAX,23,WR,16,14,7,33,0,3,10,4.7,2.1,1
170,B.J. Askew,NYJ,26,fb,13,5,6,11,0,1,5,1.8,0.8,0
171,Tony Fisher,STL,27,RB,8,0,6,9,0,0,4,1.5,1.1,0
172,Brian Griese,CHI,31,QB,6,0,6,-5,0,0,0,-0.8,-0.8,1
173,Chad Johnson*+,CIN,28,WR,16,16,6,24,0,0,8,4.0,1.5,1
174,Patrick Pass,NWE,29,FB,3,0,6,21,0,1,6,3.5,7.0,1
175,Lee Suggs,MIA,26,RB,4,0,6,26,0,0,7,4.3,6.5,0
176,Arnaz Battle,SFO,26,WR,16,15,5,25,0,2,18,5.0,1.6,2
177,Anquan Boldin*,ARI,26,WR,16,16,5,28,0,2,18,5.6,1.8,1
178,Rock Cartwright,WAS,27,FB,16,0,5,15,0,0,9,3.0,0.9,1
179,Michael Clayton,TAM,24,WR,12,9,5,41,0,2,27,8.2,3.4,2
180,Jerricho Cotchery,NYJ,24,WR,16,16,5,25,0,1,10,5.0,1.6,0
181,Ronnie Cruz,KAN,25,RB,5,3,5,19,0,0,7,3.8,3.8,0
182,Kyle Johnson,DEN,28,FB,14,7,5,30,0,1,15,6.0,2.1,0
183,Peerless Price,BUF,30,WR,16,15,5,18,0,2,9,3.6,1.1,1
184,Tony Richardson,MIN,35,FB,9,7,5,12,0,2,3,2.4,1.3,0
185,Thomas Tapeh,PHI,26,FB,16,8,5,9,0,2,4,1.8,0.6,0
186,Derek Anderson,CLE,23,QB,5,3,4,47,0,2,33,11.8,9.4,2
187,Deion Branch,SEA,27,WR,14,13,4,30,0,1,19,7.5,2.1,0
188,Kevin Curtis,STL,28,WR,16,1,4,4,0,1,7,1.0,0.3,1
189,Chad Jackson,NWE,21,WR,12,1,4,22,0,2,14,5.5,1.8,0
190,Bethel Johnson,MIN,27,WR,11,2,4,8,0,1,5,2.0,0.7,1
191,Eddie Kennison,KAN,33,WR,16,16,4,16,0,0,9,4.0,1.0,0
192,Keylon Kincade,DAL,24,RB,1,0,4,9,0,0,7,2.3,9.0,0
193,Reno Mahe,PHI,26,RB,12,1,4,18,0,0,11,4.5,1.5,4
194,Andrew Pinnock,SDG,26,FB,3,0,4,25,0,1,15,6.3,8.3,0
195,Tim Rattay,TAM,29,QB,4,2,4,3,0,1,4,0.8,0.8,2
196,Josh Reed,BUF,26,WR,13,1,4,13,0,2,15,3.3,1.0,0
197,Sage Rosenfels,HOU,28,QB,4,0,4,5,0,0,7,1.3,1.3,0
198,Chris Simms,TAM,26,QB,3,3,4,7,1,1,3,1.8,2.3,0
199,Aaron Stecker,NOR,31,RB,12,1,4,11,0,0,4,2.8,0.9,0
200,Marques Tuiasosopo,OAK,27,QB,2,0,4,29,0,2,11,7.3,14.5,1
201,Chris Weinke,CAR,34,QB,3,3,4,16,0,1,13,4.0,5.3,2
202,Anthony Wright,CIN,30,QB,4,0,4,-12,0,0,-1,-3.0,-3.0,0
203,Rich Alexis,JAX,25,RB,1,0,3,5,0,0,3,1.7,5.0,0
204,Marty Booker,MIA,30,WR,14,13,3,19,0,1,18,6.3,1.4,0
205,Reggie Brown,PHI,25,WR,16,15,3,24,1,1,15,8.0,1.5,0
206,Ran Carthon,IND,25,RB,3,0,3,4,1,1,3,1.3,1.3,0
207,Cedric Cobbs,DEN,25,RB,2,0,3,9,0,0,5,3.0,4.5,0
208,Jameel Cook,HOU,27,FB,11,6,3,18,0,2,14,6.0,1.6,2
209,Brodie Croyle,KAN,23,QB,2,0,3,-3,0,0,-1,-1.0,-1.5,0
210,Braylon Edwards,CLE,23,WR,16,15,3,7,0,1,8,2.3,0.4,0
211,Ryan Fitzpatrick,STL,24,QB,1,0,3,0,0,1,2,0.0,0.0,0
212,Terry Glenn,DAL,32,WR,15,14,3,11,0,1,22,3.7,0.7,0
213,Dante Hall,KAN,28,WR,15,0,3,11,0,0,9,3.7,0.7,2
214,Kay-Jay Harris,STL,27,RB,7,0,3,9,0,0,9,3.0,1.3,0
215,T.J. Houshmandzadeh,CIN,29,WR,14,13,3,6,0,1,13,2.0,0.4,0
216,Vincent Jackson,SDG,23,wr,16,7,3,16,0,0,8,5.3,1.0,0
217,Andre Johnson*,HOU,25,WR,16,16,3,14,0,1,18,4.7,0.9,1
218,Cleo Lemon,MIA,27,QB,4,1,3,7,0,0,6,2.3,1.8,0
219,Fred McAfee,NOR,38,RB,4,0,3,12,1,1,6,4.0,3.0,0
220,Dennis Northcutt,CLE,29,wr,13,6,3,32,0,1,16,10.7,2.5,1
221,Samie Parker,KAN,25,WR,16,15,3,7,0,0,5,2.3,0.4,0
222,Derrick Ross,KAN,23,RB,7,0,3,8,0,0,4,2.7,1.1,1
223,Lawrence Vickers,CLE,23,FB,16,1,3,2,0,0,2,0.7,0.1,0
224,Billy Volek,SDG,30,QB,1,0,3,-3,0,0,-1,-1.0,-3.0,0
225,Nate Washington,PIT,23,WR,16,2,3,8,0,1,8,2.7,0.5,0
226,Marquis Weeks,SEA,26,RB,10,0,3,8,0,0,3,2.7,0.8,0
227,Bernard Berrian,CHI,26,WR,15,14,2,5,0,0,5,2.5,0.3,2
228,Troy Brown,NWE,35,WR,16,9,2,18,0,1,16,9.0,1.1,0
229,Shawn Bryson,DET,30,RB,6,1,2,1,0,0,1,0.5,0.2,0
230,Drew Carter,CAR,25,WR,14,2,2,18,0,1,11,9.0,1.3,0
231,Matt Cassel,NWE,24,QB,6,0,2,4,0,1,5,2.0,0.7,1
232,Kellen Clemens,NYJ,23,QB,2,0,2,10,0,0,8,5.0,5.0,1
233,Laveranues Coles,NYJ,29,WR,16,16,2,14,0,1,15,7.0,0.9,1
234,Josh Cribbs,CLE,23,WR,16,1,2,11,0,0,9,5.5,0.7,3
235,Vernon Davis,SFO,22,TE,10,8,2,5,0,0,9,2.5,0.5,1
236,Tim Dwight,NYJ,31,WR,9,2,2,28,0,1,28,14.0,3.1,1
237,Devale Ellis,DET,22,WR,9,2,2,3,0,1,12,1.5,0.3,1
238,Jim Finn,NYG,30,FB,16,11,2,14,0,0,12,7.0,0.9,0
239,Joey Galloway,TAM,35,WR,16,14,2,9,0,0,7,4.5,0.6,0
240,Quinn Gray,JAX,27,QB,2,0,2,26,2,2,17,13.0,13.0,0
241,Devery Henderson,NOR,24,wr,13,7,2,14,1,2,11,7.0,1.1,0
242,Michael Jennings,NYG,27,WR,8,0,2,12,0,1,21,6.0,1.5,0
243,Adam Jones,TEN,23,RCB,15,15,2,8,0,1,7,4.0,0.5,4
244,Matt Jones,JAX,23,WR,14,4,2,-15,0,0,-6,-7.5,-1.1,1
245,John Kuhn,PIT,24,FB,9,0,2,18,0,1,16,9.0,2.0,0
246,Brandon Marshall,DEN,22,WR,15,1,2,12,0,1,6,6.0,0.8,1
247,Ingle Martin,GNB,24,QB,1,0,2,-5,0,0,-2,-2.5,-5.0,0
248,Brian Moorman*+,BUF,30,P,16,0,2,2,0,1,2,1.0,0.1,1
249,Moran Norris,SFO,28,fb,14,7,2,8,0,1,4,4.0,0.6,0
250,Eric Parker,SDG,27,WR,15,12,2,19,0,1,18,9.5,1.3,0
251,Roscoe Parrish,BUF,24,WR,16,1,2,18,0,1,11,9.0,1.1,2
252,Tab Perry,CIN,24,WR,2,0,2,4,0,0,2,2.0,2.0,0
253,Aaron Rodgers,GNB,23,QB,2,0,2,11,0,1,6,5.5,5.5,1
254,Edell Shepherd,HOU,26,WR,7,0,2,5,0,0,6,2.5,0.7,2
255,Maurice Stovall,TAM,21,WR,9,2,2,29,0,2,18,14.5,3.2,0
256,Matt Turk,STL,38,P,16,0,2,19,0,1,16,9.5,1.2,1
257,Hines Ward,PIT,30,WR,14,14,2,30,0,0,21,15.0,2.1,2
258,Charlie Whitehurst,SDG,24,QB,2,0,2,13,1,1,14,6.5,6.5,0
259,Roy Williams*,DET,25,WR,16,16,2,2,0,0,2,1.0,0.1,2
260,Shaud Williams,BUF,26,RB,5,0,2,2,0,0,2,1.0,0.4,0
261,Cedrick Wilson,PIT,28,WR,15,12,2,14,0,1,14,7.0,0.9,2
262,Quincy Wilson,CIN,25,RB,3,0,2,2,0,0,5,1.0,0.7,0
263,Brett Basanez,CAR,23,QB,1,0,1,2,0,0,2,2.0,2.0,0
264,Reche Caldwell,NWE,27,WR,16,14,1,5,0,0,5,5.0,0.3,2
265,Dustin Colquitt,KAN,24,P,16,0,1,0,0,0,0,0.0,0.0,2
266,Terrance Copper,NOR,24,WR,15,4,1,8,0,1,8,8.0,0.5,2
267,Ronald Curry,OAK,27,WR,16,4,1,4,0,0,4,4.0,0.3,0
268,Eddie Drummond,DET,26,WR,14,0,1,4,0,0,4,4.0,0.3,4
269,Jason Elam,DEN,36,K,16,0,1,2,0,1,2,2.0,0.1,0
270,Bobby Engram,SEA,33,wr,7,6,1,4,0,0,4,4.0,0.6,0
271,A.J. Feeley,PHI,29,QB,2,0,1,3,0,0,3,3.0,1.5,1
272,David Givens,TEN,26,wr,5,5,1,3,0,0,3,3.0,0.6,0
273,Lamar Gordon,DET,26,RB,1,0,1,2,0,0,2,2.0,2.0,0
274,Ben Graham,NYJ,33,P,16,0,1,0,0,0,0,0.0,0.0,1
275,Az-Zahir Hakim,DET,29,WR,6,0,1,1,0,1,1,1.0,0.2,0
276,Madison Hedgecock,STL,25,FB,16,9,1,2,0,1,2,2.0,0.1,0
277,Santonio Holmes,PIT,22,WR,16,4,1,13,0,1,13,13.0,0.8,5
278,Marlion Jackson,ATL,29,RB,1,0,1,2,0,0,2,2.0,2.0,0
279,Michael Jenkins,ATL,24,WR,16,16,1,2,0,0,2,2.0,0.1,0
280,Adam Jennings,ATL,24,WR,15,0,1,-4,0,0,-4,-4.0,-0.3,0
281,Bryant Johnson,ARI,25,WR,16,8,1,-3,0,0,-3,-3.0,-0.2,1
282,Dirk Johnson,PHI,31,P,16,0,1,0,0,0,0,0.0,0.0,0
283,Keyshawn Johnson,CAR,34,WR,16,16,1,4,1,1,4,4.0,0.3,1
284,Brandon Jones,TEN,24,WR,16,10,1,3,0,0,3,3.0,0.2,0
285,Donnie Jones,MIA,26,P,16,0,1,0,0,0,0,0.0,0.0,1
286,Kelvin Kight,NWE,24,WR,4,1,1,8,0,0,8,8.0,2.0,0
287,Dan Kreider,PIT,29,FB,16,12,1,5,0,0,5,5.0,0.3,0
288,Dane Looker,STL,30,WR,16,0,1,13,0,1,13,13.0,0.8,1
289,Jared Lorenzen,NYG,25,QB,2,0,1,2,0,1,2,2.0,1.0,0
290,Brandon Manumaleuna,SDG,26,te,16,7,1,1,0,0,1,1.0,0.1,0
291,Derrick Mason,BAL,32,WR,16,15,1,-4,0,0,-4,-4.0,-0.3,1
292,Mat McBriar*,DAL,27,P,16,0,1,0,0,0,0,0.0,0.0,1
293,Keenan McCardell,SDG,36,WR,14,11,1,8,0,0,8,8.0,0.6,2
294,Bryant McFadden,PIT,25,rcb,16,9,1,-2,0,0,-2,-2.0,-0.1,0
295,Reggie McNeal,CIN,23,QB,7,0,1,8,0,1,8,8.0,1.1,0
296,Chad Morton,NYG,29,RB,15,0,1,22,0,1,22,22.0,1.5,2
297,Eric Moulds,HOU,33,WR,16,16,1,6,0,0,6,6.0,0.4,1
298,Donnie Nickey,TEN,26,DB,16,0,1,0,0,0,0,0.0,0.0,1
299,Jarrad Page,KAN,22,DB,16,2,1,4,0,1,4,4.0,0.3,0
300,Courtney Roby,TEN,23,WR,12,0,1,3,0,0,3,3.0,0.3,0
301,Robert Royal,BUF,27,TE,16,15,1,-9,0,0,-9,-9.0,-0.6,0
302,Jon Ryan,GNB,25,P,16,0,1,-11,0,0,-11,-11.0,-0.7,0
303,Bo Scaife,TEN,25,TE,14,12,1,13,1,1,13,13.0,0.9,1
304,A.J. Schable,ARI,22,DE,11,0,1,5,0,1,5,5.0,0.5,0
305,Tony Scheffler,DEN,23,te,13,5,1,3,0,0,3,3.0,0.2,0
306,Mike Scifres,SDG,26,P,16,0,1,-7,0,0,-7,-7.0,-0.4,1
307,Jason Simmons,HOU,30,DB,16,2,1,0,0,0,0,0.0,0.0,0
308,Rod Smith,DEN,36,WR,16,16,1,-5,0,0,-5,-5.0,-0.3,2
309,Chad Stanley,HOU,30,P,16,0,1,0,0,0,0,0.0,0.0,1
310,Travis Taylor,MIN,28,WR,16,16,1,5,0,0,5,5.0,0.3,2
311,Amani Toomer,NYG,32,WR,8,8,1,0,0,0,0,0.0,0.0,0
312,Kevin Walter,HOU,25,WR,16,2,1,3,0,1,3,3.0,0.2,1
313,Alvis Whitted,OAK,32,WR,14,13,1,4,0,0,4,4.0,0.3,1
314,Derrick Wimbush,JAX,26,fb,12,6,1,3,0,0,3,3.0,0.3,0
