Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
76,Steve Beuerlein,CAR,35,QB,16,16,44,106,1,13,15,2.4,6.6,9
77,Zack Crockett,OAK,28,FB,16,4,43,130,7,11,11,3.0,8.1,0
78,Robert Chancey,SDG,28,RB,4,3,42,141,2,9,14,3.4,35.3,0
79,Rob Johnson,BUF,27,QB,12,11,42,307,1,16,23,7.3,25.6,4
80,Aaron Brooks,NOR,24,qb,8,5,41,170,2,14,29,4.1,21.3,4
81,Kerry Collins,NYG,28,QB,16,16,41,65,1,5,15,1.6,4.1,7
82,Akili Smith,CIN,25,QB,12,11,41,232,0,17,21,5.7,19.3,14
83,Jonathan Linton,BUF,26,RB,14,2,38,112,0,6,12,2.9,8.0,3
84,Tony Carter,NWE,28,FB,16,6,37,90,2,10,9,2.4,5.6,0
85,Peyton Manning*,IND,24,QB,16,16,37,116,1,11,14,3.1,7.3,5
86,Jerald Moore,NOR,26,RB,11,1,37,156,1,8,40,4.2,14.2,0
87,Jake Plummer,ARI,26,QB,14,14,37,183,0,12,24,4.9,13.1,8
88,Curtis Enis,CHI,24,FB,12,5,36,84,1,4,11,2.3,7.0,0
89,Doug Flutie,BUF,38,qb,11,5,36,161,1,10,32,4.5,14.6,5
90,Chad Morton,NOR,23,RB,16,3,36,136,0,6,16,3.8,8.5,2
91,Mario Bates,DET,27,RB,13,0,31,127,2,12,23,4.1,9.8,0
92,Autry Denson,MIA,24,RB,11,0,31,108,0,5,12,3.5,9.8,1
93,Mike Cloud,KAN,25,RB,16,4,30,84,1,3,15,2.8,5.3,0
94,Elvis Grbac*,KAN,30,QB,15,15,30,110,1,6,22,3.7,7.3,7
95,Brian Griese*,DEN,25,QB,10,10,29,102,1,8,18,3.5,10.2,5
96,Skip Hicks,WAS,26,RB,10,1,29,78,1,6,12,2.7,7.8,1
97,Terrelle Smith,NOR,22,FB,14,9,29,131,0,5,16,4.5,9.4,1
98,Anthony Johnson,JAX,33,RB,12,3,28,112,1,6,19,4.0,9.3,0
99,Ryan Leaf,SDG,24,QB,11,9,28,54,0,6,14,1.9,4.9,12
100,Thurman Thomas,MIA,34,RB,9,0,28,136,0,7,25,4.9,15.1,1
101,Richie Anderson*,NYJ,29,FB,16,10,27,63,0,8,9,2.3,3.9,2
102,Donnell Bennett,KAN,28,RB,7,2,27,24,1,7,6,0.9,3.4,0
103,Brett Favre,GNB,31,QB,16,16,27,108,0,7,18,4.0,6.8,9
104,Bernie Parmalee,NYJ,33,RB,14,0,27,87,2,8,18,3.2,6.2,0
105,Brian Mitchell,PHI,32,RB,16,1,25,187,2,9,85,7.5,11.7,3
106,Vinny Testaverde,NYJ,37,QB,16,16,25,32,0,3,15,1.3,2.0,7
107,Michael Wiley,DAL,22,RB,10,0,24,88,0,5,11,3.7,8.8,3
108,Randall Cunningham,DAL,37,QB,6,3,23,89,1,9,19,3.9,14.8,4
109,Chris Hetherington,CAR,28,fb,16,5,23,65,2,5,14,2.8,4.1,0
110,Moe Williams,MIN,26,RB,16,0,23,67,0,4,10,2.9,4.2,0
111,Gus Frerotte,DEN,29,qb,10,6,22,64,1,6,13,2.9,6.4,5
112,Brad Johnson,WAS,32,QB,12,11,22,58,1,6,21,2.6,4.8,5
113,Chris Chandler,ATL,35,QB,14,13,21,60,0,4,16,2.9,4.3,7
114,Chris Fuamatu-Ma'afala,PIT,23,RB,7,1,21,149,1,6,23,7.1,21.3,0
115,Robert Holcombe,STL,25,FB,14,9,21,70,3,8,11,3.3,5.0,0
116,Chris Howard,JAX,25,RB,2,1,21,52,1,4,9,2.5,26.0,2
117,Trent Dilfer,BAL,28,QB,11,8,20,75,0,4,19,3.8,6.8,8
118,Trent Green,STL,30,qb,8,5,20,69,1,6,18,3.5,8.6,3
119,Adrian Murrell,WAS,30,RB,15,0,20,50,0,2,13,2.5,3.3,1
120,Shyrone Stith,JAX,22,RB,14,0,20,55,1,3,12,2.8,3.9,1
121,Tony Banks,BAL,27,qb,11,8,19,57,0,3,10,3.0,5.2,5
122,Larry Centers,WAS,32,fb,15,6,19,103,0,4,14,5.4,6.9,1
123,Maurice Smith,ATL,24,RB,10,0,19,69,0,5,16,3.6,6.9,0
124,De'Mond Parker,GNB,24,RB,8,0,18,85,0,4,24,4.7,10.6,0
125,Patrick Pass,NWE,23,FB,5,2,18,58,0,2,11,3.2,11.6,0
126,Doug Pederson,CLE,32,QB,11,8,18,68,0,4,15,3.8,6.2,4
127,Paul Smith,SFO,22,RB,10,0,18,72,0,3,14,4.0,7.2,2
128,Kurt Warner*,STL,29,QB,11,11,18,17,0,3,11,0.9,1.5,4
129,Rabih Abdullah,TAM,25,RB,12,0,16,70,0,5,19,4.4,5.8,0
130,Stoney Case,DET,28,QB,5,1,16,117,1,6,27,7.3,23.4,1
131,William Floyd,CAR,28,FB,10,8,16,33,1,2,8,2.1,3.3,0
132,Jim Harbaugh,SDG,37,qb,7,5,16,24,0,1,7,1.5,3.4,5
133,Peter Warrick,CIN,23,WR,16,16,16,148,2,6,77,9.3,9.3,2
134,Obafemi Ayanbadejo,BAL,25,RB,8,4,15,37,1,4,8,2.5,4.6,0
135,Marlon Barnes,CHI,24,RB,13,0,15,81,0,4,20,5.4,6.2,1
136,Rob Konrad,MIA,24,FB,15,14,15,39,0,1,5,2.6,2.6,0
137,Robert Thomas,DAL,26,FB,16,15,15,51,0,6,9,3.4,3.2,2
138,Olandis Gary,DEN,25,RB,1,0,13,80,0,5,25,6.2,80.0,0
139,Raymont Harris,2TM,30,,4,0,13,36,0,0,7,2.8,9.0,0
140,Cecil Martin,PHI,25,FB,16,9,13,77,0,2,23,5.9,4.8,1
141,Tim Couch,CLE,23,qb,7,7,12,45,0,3,31,3.8,6.4,2
142,Jim Kleinsasser,MIN,23,FB,14,8,12,43,0,2,7,3.6,3.1,0
143,Aaron Stecker,TAM,25,RB,10,0,12,31,0,3,14,2.6,3.1,1
144,Anthony Wright,DAL,24,QB,4,2,12,36,0,1,19,3.0,9.0,3
145,Terry Kirby,OAK,30,RB,2,0,11,51,0,2,28,4.6,25.5,0
146,Troy Aikman,DAL,34,QB,11,11,10,13,0,5,5,1.3,1.2,2
147,Greg Comella,NYG,25,FB,16,12,10,45,0,2,16,4.5,2.8,2
148,Nick Luchey,CIN,23,FB,14,4,10,54,0,4,13,5.4,3.9,2
149,Shane Matthews,CHI,30,qb,6,5,10,35,0,3,14,3.5,5.8,2
150,Scott Mitchell,CIN,32,qb,8,5,10,61,1,6,12,6.1,7.6,4
151,James Thrash,WAS,25,WR,16,9,10,82,0,4,34,8.2,5.1,1
152,Bob Christian,ATL,32,FB,16,14,9,19,0,1,7,2.1,1.2,0
153,Sedrick Irvin,DET,22,RB,6,0,9,49,0,1,32,5.4,8.2,1
154,Dennis Northcutt,CLE,23,wr,15,8,9,33,0,1,13,3.7,2.2,1
155,Neil O'Donnell,TEN,34,QB,7,1,9,-2,0,0,4,-0.2,-0.3,0
156,Harold Shaw,NWE,26,RB,16,0,9,12,0,1,5,1.3,0.8,0
157,Kent Graham,PIT,32,qb,12,5,8,7,0,0,7,0.9,0.6,1
158,Rocket Ismail,DAL,31,WR,9,9,8,73,0,3,37,9.1,8.1,1
159,Ronney Jenkins,SDG,23,RB,16,0,8,6,0,0,4,0.8,0.4,3
160,Jeff Lewis,CAR,27,QB,5,0,8,36,0,4,19,4.5,7.2,1
161,Ron Rivers,ATL,29,RB,6,0,8,27,0,1,10,3.4,4.5,0
162,Michael Bishop,NWE,24,QB,8,0,7,-1,0,3,2,-0.1,-0.1,0
163,Kenny Bynum,SDG,26,RB,14,0,7,26,0,1,9,3.7,1.9,0
164,Jeff George,WAS,33,qb,6,5,7,24,0,1,14,3.4,4.0,3
165,Jamie Martin,JAX,30,QB,5,0,7,-6,0,0,2,-0.9,-1.2,0
166,Fred McCrary,SDG,28,FB,15,12,7,8,0,1,4,1.1,0.5,1
167,Jim Miller,CHI,29,QB,3,2,7,5,0,1,3,0.7,1.7,1
168,Troy Brown,NWE,29,WR,16,15,6,46,0,2,35,7.7,2.9,2
169,Troy Hambrick,DAL,24,RB,3,0,6,28,0,2,13,4.7,9.3,0
170,Joe Horn*,NOR,28,WR,16,16,6,10,0,1,16,1.7,0.6,1
171,Curtis Keaton,CIN,24,RB,6,0,6,24,0,1,8,4.0,4.0,0
172,Ray Lucas,NYJ,28,QB,7,0,6,42,0,2,17,7.0,6.0,2
173,Wane McGarity,DAL,24,WR,14,0,6,49,1,2,22,8.2,3.5,2
174,Rod Smith*,DEN,30,WR,16,16,6,99,1,3,50,16.5,6.2,1
175,Amos Zereoue,PIT,24,RB,12,0,6,14,0,1,11,2.3,1.2,0
176,Michael Bates*,CAR,31,RB,16,0,5,13,0,0,8,2.6,0.8,4
177,Bubby Brister,MIN,38,QB,2,0,5,20,0,2,12,4.0,10.0,1
178,Tim Dwight,ATL,25,WR,14,1,5,8,0,1,5,1.6,0.6,3
179,Jacquez Green,TAM,24,WR,16,16,5,13,0,0,6,2.6,0.8,0
180,Howard Griffith,DEN,33,FB,14,14,5,4,0,2,3,0.8,0.3,0
181,Az-Zahir Hakim,STL,23,WR,16,4,5,19,0,1,5,3.8,1.2,7
182,Brock Huard,SEA,24,QB,5,4,5,29,0,2,10,5.8,5.8,2
183,Terry Jackson,SFO,24,FB,15,1,5,6,1,2,3,1.2,0.4,0
184,Charles Johnson,PHI,28,WR,16,16,5,18,0,1,15,3.6,1.1,0
185,Moses Moreno,SDG,25,QB,6,2,5,20,0,1,13,4.0,3.3,3
186,Amani Toomer,NYG,26,WR,16,14,5,91,1,5,28,18.2,5.7,1
187,Jason Garrett,NYG,34,QB,2,0,4,-4,0,0,-1,-1.0,-2.0,0
188,Terry Glenn,NWE,26,WR,16,16,4,39,0,1,35,9.8,2.4,0
189,Lennox Gordon,IND,22,RB,9,0,4,13,0,1,6,3.3,1.4,0
190,Matt Hasselbeck,GNB,25,QB,16,0,4,-5,0,0,-1,-1.3,-0.3,0
191,Johnnie Morton,DET,29,WR,16,16,4,25,0,0,27,6.3,1.6,1
192,Leslie Shepherd,MIA,31,WR,13,11,4,3,0,1,14,0.8,0.2,0
193,Jason Tucker,DAL,24,wr,16,7,4,42,1,2,17,10.5,2.6,3
194,Dedric Ward,NYJ,26,WR,16,16,4,23,0,0,12,5.8,1.4,1
195,Hines Ward,PIT,24,WR,16,15,4,53,0,2,23,13.3,3.3,2
196,Derrick Alexander,KAN,29,WR,16,16,3,45,0,2,26,15.0,2.8,0
197,David Boston,ARI,22,WR,16,16,3,9,0,1,24,3.0,0.6,2
198,Reggie Brown,SEA,27,RB,12,1,3,6,0,1,3,2.0,0.5,0
199,Tim Brown,OAK,34,WR,16,16,3,12,0,0,7,4.0,0.8,0
200,Trung Canidate,STL,23,RB,3,0,3,6,0,0,3,2.0,2.0,0
201,Wayne Chrebet,NYJ,27,WR,16,16,3,-3,0,1,8,-1.0,-0.2,0
202,Curtis Conway,SDG,29,WR,14,14,3,31,0,3,13,10.3,2.2,0
203,Troy Edwards,PIT,23,WR,14,1,3,4,0,0,15,1.3,0.3,1
204,Bert Emanuel,MIA,30,WR,11,0,3,-2,0,0,0,-0.7,-0.2,1
205,Herbert Goodman,GNB,23,RB,5,0,3,-2,0,0,3,-0.7,-0.4,2
206,Clif Groce,CIN,28,fb,8,6,3,4,0,1,5,1.3,0.5,0
207,Ike Hilliard,NYG,24,WR,14,14,3,19,0,1,17,6.3,1.4,0
208,Doug Johnson,ATL,23,QB,4,2,3,11,0,1,8,3.7,2.8,4
209,Eddie Kennison,CHI,27,WR,16,10,3,72,0,2,52,24.0,4.5,1
210,Jermaine Lewis,BAL,26,WR,15,1,3,38,0,2,23,12.7,2.5,0
211,Joel Makovicka,ARI,25,FB,14,10,3,8,0,0,7,2.7,0.6,0
212,Rick Mirer,SFO,30,QB,1,0,3,0,0,1,3,0.0,0.0,0
213,Randy Moss*+,MIN,23,WR,16,16,3,5,0,0,9,1.7,0.3,2
214,Terrell Owens*+,SFO,27,WR,14,13,3,11,0,0,5,3.7,0.8,3
215,R. Jay Soward,JAX,22,WR,13,2,3,28,0,1,20,9.3,2.2,3
216,Dwight Stone,NYJ,36,WR,12,0,3,3,0,0,9,1.0,0.3,1
217,Mack Strong,SEA,29,FB,16,13,3,9,0,1,4,3.0,0.6,0
218,Terrence Wilkins,IND,25,wr,14,7,3,8,0,0,6,2.7,0.6,4
219,Jon Witman,PIT,28,fb,6,5,3,5,0,0,2,1.7,0.8,0
220,Spergon Wynn,CLE,22,QB,7,1,3,15,0,0,11,5.0,2.1,2
221,Marty Booker,CHI,24,wr,15,7,2,-1,0,0,5,-0.5,-0.1,2
222,Laveranues Coles,NYJ,23,WR,13,3,2,15,0,0,8,7.5,1.2,0
223,Ernie Conwell,STL,28,TE,16,1,2,23,0,1,17,11.5,1.4,0
224,Dameyune Craig,CAR,26,QB,4,0,2,4,0,1,5,2.0,1.0,0
225,Ron Dixon,NYG,24,WR,12,0,2,13,0,1,12,6.5,1.1,0
226,Chad Dukes,2TM,29,,2,0,2,2,0,0,2,1.0,1.0,0
227,Marc Edwards,CLE,26,FB,16,8,2,9,0,0,6,4.5,0.6,2
228,Chris Floyd,2TM,25,,13,0,2,-1,0,0,0,-0.5,-0.1,0
229,Larry Foster,DET,24,WR,10,0,2,31,0,1,16,15.5,3.1,2
230,Antonio Freeman,GNB,28,WR,15,15,2,5,0,1,3,2.5,0.3,1
231,Irving Fryar,WAS,38,wr,14,6,2,16,0,1,15,8.0,1.1,0
232,Sam Gash,BAL,31,FB,15,4,2,2,0,0,1,1.0,0.1,0
233,William Henderson,GNB,29,fb,16,6,2,16,0,0,12,8.0,1.0,1
234,Torry Holt*,STL,24,WR,16,15,2,7,0,0,7,3.5,0.4,2
235,Tony Horne,STL,24,WR,11,0,2,6,0,1,9,3.0,0.5,3
236,Bobby Hoying,OAK,28,QB,4,0,2,-3,0,0,-1,-1.5,-0.8,0
237,Keyshawn Johnson,TAM,28,WR,16,16,2,5,0,0,3,2.5,0.3,2
238,Lee Johnson,NWE,39,P,16,0,2,-1,0,0,0,-0.5,-0.1,2
239,Patrick Johnson,BAL,24,WR,12,9,2,21,0,1,19,10.5,1.8,0
240,Dan Kreider,PIT,23,FB,10,7,2,24,0,1,22,12.0,2.4,0
241,Fred McAfee,NOR,32,RB,12,0,2,37,0,1,40,18.5,3.1,0
242,Brian Milne,NOR,27,RB,16,2,2,1,0,0,1,0.5,0.1,0
243,Basil Mitchell,GNB,25,RB,1,0,2,8,0,0,4,4.0,8.0,1
244,Warren Moon,KAN,44,QB,2,1,2,2,0,0,2,1.0,1.0,1
245,Eric Moulds*,BUF,27,WR,16,16,2,24,0,1,20,12.0,1.5,1
246,Muhsin Muhammad,CAR,27,WR,16,16,2,12,0,1,8,6.0,0.8,1
247,Daniel Pope,CIN,25,P,16,0,2,22,0,1,22,11.0,1.4,1
248,Peerless Price,BUF,24,WR,16,16,2,32,0,1,27,16.0,2.0,4
249,Jonathan Quinn,JAX,25,QB,1,0,2,-2,0,0,-1,-1.0,-2.0,0
250,Tim Rattay,SFO,23,QB,1,0,2,-1,0,0,0,-0.5,-1.0,0
251,Bill Schroeder,GNB,29,WR,16,16,2,11,0,1,12,5.5,0.7,1
252,Daimon Shelton,JAX,28,FB,16,9,2,3,0,0,2,1.5,0.2,0
253,Jerald Sowell,NYJ,26,FB,16,0,2,0,0,0,1,0.0,0.0,0
254,Travis Taylor,BAL,22,WR,9,8,2,11,0,0,12,5.5,1.2,1
255,Jermaine Williams,JAX,27,RB,7,0,2,8,0,1,4,4.0,1.1,0
256,Danny Wuerffel,GNB,26,QB,1,0,2,-2,0,0,-1,-1.0,-2.0,0
257,Eric Zeier,TAM,28,QB,3,0,2,-2,0,0,-1,-1.0,-0.7,0
258,Karim Abdul-Jabbar,IND,26,RB,1,0,1,-2,0,0,-2,-2.0,-2.0,0
259,David Akers,PHI,26,K,16,0,1,15,0,1,15,15.0,0.9,0
260,Champ Bailey*,WAS,22,LCB,16,16,1,7,1,1,7,7.0,0.4,0
261,Tommy Barnhardt,WAS,37,P,16,0,1,11,0,0,11,11.0,0.7,0
262,D'Wayne Bates,CHI,25,WR,5,0,1,-2,0,0,-2,-2.0,-0.4,0
263,Dave Brown,ARI,30,QB,6,2,1,0,0,0,0,0.0,0.0,2
264,Isaac Bruce*,STL,28,WR,16,16,1,11,0,1,11,11.0,0.7,1
265,Dexter Coakley,DAL,28,RLB,16,16,1,26,0,1,26,26.0,1.6,0
266,Germane Crowell,DET,24,wr,9,7,1,12,0,1,12,12.0,1.3,0
267,Koy Detmer,PHI,27,QB,16,0,1,8,0,0,8,8.0,0.5,0
268,Donald Driver,GNB,25,WR,16,2,1,4,0,0,4,4.0,0.3,0
269,Rickey Dudley,OAK,28,TE,16,16,1,-7,0,0,-7,-7.0,-0.4,1
270,Bobby Engram,CHI,27,WR,3,3,1,1,0,0,1,1.0,0.3,1
271,Jim Finn,IND,24,FB,16,1,1,1,0,0,1,1.0,0.1,1
272,Toby Gowin,NOR,25,P,16,0,1,5,0,1,5,5.0,0.3,0
273,Chris Greisen,ARI,24,QB,3,0,1,1,0,0,1,1.0,0.3,1
274,Joe Hamilton,TAM,23,QB,1,0,1,-2,0,0,-2,-2.0,-2.0,1
275,Windrell Hayes,NYJ,24,WR,8,1,1,2,0,0,2,2.0,0.3,0
276,James Hodgins,STL,23,FB,15,2,1,3,0,0,3,3.0,0.2,0
277,Todd Husak,WAS,22,QB,1,0,1,-1,0,0,-1,-1.0,-1.0,0
278,Larry Izzo*,MIA,26,LB,16,0,1,39,0,0,39,39.0,2.4,1
279,Darrell Jackson,SEA,22,WR,16,9,1,-1,0,0,-1,-1.0,-0.1,2
280,Jarious Jackson,DEN,23,QB,2,0,1,-1,0,0,-1,-1.0,-0.5,0
281,Shawn Jefferson,ATL,31,WR,16,14,1,1,0,0,1,1.0,0.1,1
282,MarTay Jenkins,ARI,25,WR,16,2,1,-4,0,0,-4,-4.0,-0.3,3
283,Travis Jervey,SFO,28,RB,8,0,1,0,0,0,0,0.0,0.0,0
284,John Jett,DET,32,P,16,0,1,0,0,0,0,0.0,0.0,1
285,Danny Kanell,ATL,27,QB,5,1,1,0,0,0,0,0.0,0.0,2
286,Amp Lee,PHI,29,RB,3,0,1,2,0,0,2,2.0,0.7,0
287,Jonas Lewis,SFO,24,LB,10,0,1,6,0,1,6,6.0,0.6,0
288,Mo Lewis*,NYJ,31,LOLB,16,16,1,3,0,1,3,3.0,0.2,0
289,Keith Lyle,STL,28,FS,16,16,1,4,0,1,4,4.0,0.3,0
290,Derrick Mason*+,TEN,26,WR,16,10,1,1,0,0,1,1.0,0.1,1
291,Terance Mathis,ATL,33,WR,16,16,1,-5,0,0,-5,-5.0,-0.3,1
292,O.J. McDuffie,MIA,31,WR,9,1,1,-3,0,0,-3,-3.0,-0.3,0
293,Glyn Milburn,CHI,29,RB,16,0,1,6,0,0,6,6.0,0.4,4
294,Josh Miller,PIT,30,P,16,0,1,0,0,0,0,0.0,0.0,1
295,Joe Montgomery,NYG,24,RB,3,0,1,4,1,1,4,4.0,1.3,0
296,Lorenzo Neal,TEN,30,fb,16,6,1,-2,0,0,-2,-2.0,-0.1,0
297,Larry Parker,KAN,24,WR,16,0,1,-7,0,0,-7,-7.0,-0.4,1
298,Jerome Pathon,IND,25,WR,16,10,1,3,0,0,3,3.0,0.2,0
299,Chad Pennington,NYJ,24,QB,1,0,1,0,0,0,0,0.0,0.0,0
300,Scott Player*,ARI,31,P,16,0,1,-11,0,0,-11,-11.0,-0.7,0
301,Neil Rackers,CIN,24,K,16,0,1,-5,0,0,-5,-5.0,-0.3,0
302,Chris Redman,BAL,23,QB,2,0,1,0,0,0,0,0.0,0.0,0
303,Jerry Rice,SFO,38,WR,16,16,1,-2,0,0,-2,-2.0,-0.1,3
304,Marcus Robinson,CHI,25,WR,11,11,1,9,0,0,9,9.0,0.8,1
305,Allen Rossum,GNB,25,DB,16,0,1,16,0,1,16,16.0,1.0,4
306,Tom Rouen,DEN,32,P,16,0,1,-11,0,0,-11,-11.0,-0.7,0
307,Cory Schlesinger,DET,28,FB,16,8,1,3,0,1,3,3.0,0.2,0
308,Tim Seder,DAL,26,K,15,0,1,1,1,0,1,1.0,0.1,0
309,Mike Sellers,WAS,25,TE,15,6,1,2,0,1,2,2.0,0.1,0
310,Torrance Small,PHI,30,WR,14,14,1,1,0,0,1,1.0,0.1,0
311,Hunter Smith,IND,23,P,16,0,1,11,0,1,11,11.0,0.7,0
312,J.J. Stokes,SFO,28,WR,16,3,1,6,0,0,6,6.0,0.4,0
313,Brandon Stokley,BAL,24,WR,7,1,1,6,0,1,6,6.0,0.9,0
314,Tai Streets,SFO,23,WR,15,1,1,0,0,1,0,0.0,0.0,1
315,Kevin Thompson,CLE,23,QB,1,0,1,0,0,0,0,0.0,0.0,1
316,Ken Walter,CAR,28,P,16,0,1,0,0,0,0,0.0,0.0,2
317,Troy Walters,MIN,24,WR,12,0,1,3,0,0,3,3.0,0.3,2
